date	co	local	party	score
2007/12	17	서울	여당	1,237,812
2007/12	17	서울	야당	2,689,162
2007/12	17	서울	기타	1,124,395
2007/12	17	인천	여당	286,565
2007/12	17	인천	야당	593,283
2007/12	17	인천	기타	325,509
2007/12	17	경기	여당	1,181,936
2007/12	17	경기	야당	2,603,443
2007/12	17	경기	기타	1,232,028
2007/12	17	강원	여당	136,668
2007/12	17	강원	야당	376,004
2007/12	17	강원	기타	210,831
2007/12	17	대전	여당	159,700
2007/12	17	대전	야당	246,008
2007/12	17	대전	기타	272,240
2007/12	17	충남	여당	192,999
2007/12	17	충남	야당	313,693
2007/12	17	충남	기타	408,813
2007/12	17	충북	여당	165,637
2007/12	17	충북	야당	289,499
2007/12	17	충북	기타	240,960
2007/12	17	광주	여당	527,588
2007/12	17	광주	야당	56,875
2007/12	17	광주	기타	77,089
2007/12	17	전남	여당	757,309
2007/12	17	전남	야당	88,834
2007/12	17	전남	기타	116,708
2007/12	17	전북	여당	777,236
2007/12	17	전북	야당	86,149
2007/12	17	전북	기타	88,967
2007/12	17	부산	여당	236,708
2007/12	17	부산	야당	1,018,715
2007/12	17	부산	기타	977,245
2007/12	17	울산	여당	70,736
2007/12	17	울산	야당	279,891
2007/12	17	울산	기타	167,959
2007/12	17	대구	여당	75,932
2007/12	17	대구	야당	876,719
2007/12	17	대구	기타	311,027
2007/12	17	경남	여당	189,463
2007/12	17	경남	야당	843,662
2007/12	17	경남	기타	500,205
2007/12	17	경북	여당	96,822
2007/12	17	경북	야당	1,033,957
2007/12	17	경북	기타	293,693
2007/12	17	제주	여당	81,570
2007/12	17	제주	야당	96,495
2007/12	17	제주	기타	71,457


